text,label
"Scientists discover chocolate cures all diseases instantly",1
"Federal Reserve raises interest rates by 0.25 percent amid inflation concerns",0
"Government secretly controls the weather using 5G towers",1
"Study shows regular exercise reduces risk of heart disease by 30 percent",0
"Aliens land in New York; media blackout ordered by president",1
"Senate passes bipartisan infrastructure bill after months of negotiations",0
"Drinking bleach proven to boost immunity experts say",1
"WHO reports global flu vaccination rates at record high this year",0
"Moon is actually a hologram created by illuminati",1
"Tech companies face new antitrust scrutiny from European regulators",0
"Vaccines contain microchips to track your location",1
"Climate scientists warn Arctic ice melt accelerating faster than predicted",0
"Bill Gates admits to funding global pandemic for profit",1
"SpaceX successfully launches 60 Starlink satellites into low Earth orbit",0
"Earth is flat NASA finally confesses the truth",1
"UN peacekeepers deployed to conflict zone as ceasefire holds fragile",0
"CIA releases mind-control chemicals through airplane contrails",1
"Researchers develop new battery technology with twice the energy density",0
"New law requires citizens to surrender pets to government",1
"Supreme Court rules on landmark privacy case affecting millions",0
